,type,date,review,rating,geo,geo_2,coordinate,lon,lat,year
19845,indeed,2018-09-03,"Une alternance chez Enedis Au sein de cette entreprise j'ai réalisé mes deux années d'apprentissage, elle m'a permis de découvrir le monde professionnel et de d'évoluer dans de bonnes conditions.",5.0,Rodez (12),rodez,"[2.566732, 44.359272]",2.566732,44.359272,2018
19846,indeed,2018-08-30,"Apprentissage enrichissant Durant ces 2 années passé au sein de l'entreprise ENEDIS, j'ai pu découvrir le monde du travail aussi bien sur le terrain que dans les bureaux. Cela m'a permit de développer de multiples qualités indispensables dans ce corps de métier telles que la polyvalence, la capacité d'adaptation, la rigueur etc.",4.0,91940 Les Ulis,lesulis,"[55.439398, -20.903142]",55.439398,-20.903142,2018
19848,indeed,2018-08-21,Agréable  entreprise Cette entreprise est correct !  A part qu'ils recrutent majoritairement des intérimaires et non pas de contrats a contrat indéterminé !,3.0,Montbéliard (25),montbliard,"[6.79471, 47.509571]",6.79471,47.509571,2018
19849,indeed,2018-08-08,Avis sur Enedis Enedis est une entreprise familiale et conservatrice de l’emploi,4.0,Nanterre (92),nanterre,"[2.202314, 48.898095]",2.202314,48.898095,2018
19850,indeed,2018-08-06,Travail agréable et varié Début de journée à 08h00 et fin à 16h00 avec 1h00 de pose déjeuner.,4.0,Douai (59),douai,"[3.095098, 50.379346]",3.095098,50.379346,2018
19851,indeed,2018-08-05,environnement de travail agréable Cadre agréable. Personnel très accueillant et a l'écoute.,3.0,Limoges (87),limoges,"[1.221254, 45.856159]",1.221254,45.856159,2018
19852,indeed,2018-07-30,decouverte j'ai réellement appréciée mon activité chez Enedis . les journées passait très vite.,5.0,Reims (51),reims,"[4.055595, 49.250948]",4.055595,49.250948,2018
19853,indeed,2018-07-28,"Environnement agreable Des collegues professionnels, sympathiques. Une belle experience",5.0,Cergy (95),cergy,"[2.046317, 49.042161]",2.046317,49.042161,2018
19854,indeed,2018-07-28,"La dure vie des souterrains La majorité de nos lieux de travail sont en souterrain ce qui nous expose au rat, mauvaise odeur et toutes ces choses qui rendent nos journées compliquées.",4.0,Paris (75),paris,"[2.347, 48.859]",2.347,48.859,2018
19855,indeed,2018-07-18,"un métier passionnant très bonne entreprise, une ambiance familiale, un métier passionnant",5.0,Antibes (06),antibes,"[7.103245, 43.582206]",7.103245,43.582206,2018
19856,indeed,2018-07-16,"Super travaille Travaille avec la relation clientèle, avoir une question d'organisation sur le travail.",5.0,Auray (56),auray,"[-2.990838, 47.668099]",-2.990838,47.668099,2018
19858,indeed,2018-06-24,"Enedis Bonne expérience mais aucun avenir à envisager. Ambiance moyenne, intégration zéro . Les CDD ne sont pas acceptés par les titulaires",3.0,Calais (62),calais,"[1.866112, 50.951564]",1.866112,50.951564,2018
19860,indeed,2018-05-31,"Bon environnement Expérience intéressante, bonne intégration dans l'équipe",5.0,Montbéliard (25),montbliard,"[6.79471, 47.509571]",6.79471,47.509571,2018
19861,indeed,2018-05-30,"travail en equipe agréabe - equipemanagériale au top Mon stage chez Enedis  s’est très bien passé, j’ai intégré une équipe très à l’écoute et j’ai eu l’occasion d’en apprendre plus.",5.0,Caudan (56),caudan,"[-2.918721, 48.082717]",-2.918721,48.082717,2018
19862,indeed,2019-12-31,"Productive and fun workplace Enedis is one of the best frensh companies in terms of the human care and of professional career processing. At Enedis, you can be productive, you can develop your skills and you can manage your time to have a good scale between your private life and your Professional life.",5.0,Nanterre,nanterre,"[2.202314, 48.898095]",2.202314,48.898095,2019
19863,indeed,2018-05-24,"Ideal for an internship Ideal for an internship. Many projects, different topics. Welcoming team, willing to help. Go autonomy in the projects.",5.0,Paris,paris,"[2.347, 48.859]",2.347,48.859,2018
19866,indeed,2018-05-22,journée de travail tâches variées,5.0,Puteaux (92),puteaux,"[2.237177, 48.884331]",2.237177,48.884331,2018
19867,indeed,2018-05-18,Bonne entreprise Bonne entreprise pour les alternants surtout si possibilité d'embauche après le diplôme préparé.,4.0,Cannes (06),cannes,"[7.004585, 43.555468]",7.004585,43.555468,2018
19868,indeed,2018-05-16,Environnement de travail Très bonne entreprise avec un très bon environnement de travail.,5.0,Mérignac (33),mrignac,"[-0.354007, 45.831455]",-0.354007,45.831455,2018
19869,indeed,2018-05-16,"Ethique de l'entreprise On apprend sur le travail en équipe, les lois et normes à respecter.",3.0,Rodez (12),rodez,"[2.566732, 44.359272]",2.566732,44.359272,2018
19871,indeed,2018-05-11,"Note Enedis Entreprise très professionnelle, très bonne ambiance au seins d’enedis  D’avranches. Deux années passées là bas qui m’ont permis d’acquérir de l’expérience dans les bureaux et sur le terrain.",4.0,Avranches (50),avranches,"[-1.345577, 48.675387]",-1.345577,48.675387,2018
19873,indeed,2018-05-03,Technicien Clientèle Une autonomie agréable,5.0,Nîmes (30),nmes,"[4.936431, 45.691355]",4.936431,45.691355,2018
19874,indeed,2018-04-23,Travail sans pression Aucune pression,3.0,Calais (62),calais,"[1.866112, 50.951564]",1.866112,50.951564,2018
19875,indeed,2018-04-22,travail serieux est organizer une equipe tres serieuse un travail au carrer mais une euipe genial entre les coup de bourre,4.0,Annecy (74),annecy,"[6.125316, 45.901548]",6.125316,45.901548,2018
19876,indeed,2018-04-18,Travail génial J'y ai travaillé pendant plus d'un an en intérim et c'était franchement génial.,5.0,Gradignan (33),gradignan,"[-0.603425, 44.74274]",-0.603425,44.74274,2018
19878,indeed,2018-04-14,Reconnaissance du travail des salaries Pas assez de reconnaissance des salaries par rapport a l ancienneté et au travail fournis,3.0,Épinal (88),pinal,"[5.719126, 45.191209]",5.719126,45.191209,2018
19879,indeed,2018-04-12,stage Trop peu d'encadrement. Beaucoup d'initiatives prises. Bonne ambiance au sein de l'équipe de travail cependant communication quasi inexistante de la part de la hiérarchie.,5.0,Évreux (27),vreux,"[6.202469, 47.645565]",6.202469,47.645565,2018
